trade_id,epic,signal_type,entry_time,exit_time,entry_price,exit_price,position_size,pnl_pips,pnl_currency,duration_minutes,status
T000365,CS.D.GBPUSD.MINI.IP,BULL,2025-06-20 05:00:00,2025-06-20 06:30:00,1.3497400000000002,1.3477900000000003,86179.95,-19.499999999998963,-168.05090249999108,90,CLOSED_LOSS
T000368,CS.D.USDJPY.MINI.IP,BULL,2025-06-22 20:00:00,2025-06-22 20:20:00,146.154,146.2652,987.44,11.119999999999663,109.8033279999967,20,CLOSED_WIN
T000367,CS.D.EURUSD.MINI.IP,BEAR,2025-06-22 20:00:00,2025-06-22 22:00:00,1.14646,1.14796,98744.16,-15.000000000000568,-148.1162400000056,120,CLOSED_LOSS
T000369,CS.D.EURUSD.MINI.IP,BEAR,2025-06-22 21:35:00,2025-06-22 22:00:00,1.1465,1.1480000000000001,100208.21,-15.000000000000568,-150.31231500000573,25,CLOSED_LOSS
T000370,CS.D.USDJPY.MINI.IP,BULL,2025-06-23 00:45:00,2025-06-23 01:25:00,146.44199999999998,146.68919999999997,962.29,24.71999999999923,237.8780879999926,40,CLOSED_WIN
T000371,CS.D.EURUSD.MINI.IP,BEAR,2025-06-23 01:05:00,2025-06-23 02:00:00,1.14836,1.14986,96229.16,-15.000000000000568,-144.34374000000548,55,CLOSED_LOSS
T000372,CS.D.GBPUSD.MINI.IP,BEAR,2025-06-23 01:05:00,2025-06-23 02:30:00,1.3416,1.3435499999999998,74022.43,-19.499999999998963,-144.3437384999923,85,CLOSED_LOSS
T000373,CS.D.USDJPY.MINI.IP,BULL,2025-06-23 03:10:00,2025-06-23 03:25:00,146.57899999999998,146.71659999999997,955.52,13.759999999999195,131.4795519999923,15,CLOSED_WIN
T000374,CS.D.USDJPY.MINI.IP,BULL,2025-06-23 03:50:00,2025-06-23 04:00:00,146.679,146.73659999999998,973.05,5.7599999999979445,56.04767999998,10,CLOSED_WIN
T000375,CS.D.EURUSD.MINI.IP,BEAR,2025-06-23 04:20:00,2025-06-23 05:30:00,1.14899,1.15049,98052.07,-15.000000000000568,-147.0781050000056,70,CLOSED_LOSS
T000377,CS.D.EURUSD.MINI.IP,BEAR,2025-06-23 04:35:00,2025-06-23 05:40:00,1.14916,1.15066,98052.07,-15.000000000000568,-147.0781050000056,65,CLOSED_LOSS
